"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested at Subgroup Level","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage At or Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage At or Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage At or Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage At or Near Standard","Area 4 Percentage Below Standard"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,3,"1",314,297,"2416.6","22","21","43","25","32",296,"25","42","33","21","43","36","20","64","16","21","49","30"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,3,"2",314,297,"2420.0","13","31","43","27","30",297,"23","40","37","21","45","34","23","53","24","0","0","0"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,4,"2",308,305,"2454.9","10","28","37","33","29",305,"19","36","45","15","48","37","15","50","35","0","0","0"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,4,"1",308,307,"2458.1","23","21","43","24","33",305,"22","46","32","18","52","30","16","67","17","19","57","24"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,5,"1",302,297,"2497.8","16","33","49","26","26",297,"26","44","31","20","52","28","19","63","18","23","61","15"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,5,"2",302,298,"2475.2","9","17","27","32","41",298,"14","31","55","11","43","46","9","52","39","0","0","0"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,6,"2",270,263,"2508.1","10","21","31","41","28",263,"17","43","40","10","52","39","13","54","33","0","0","0"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,6,"1",270,264,"2516.8","16","29","44","33","23",263,"22","46","32","18","44","38","13","71","16","25","62","13"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,7,"1",264,249,"2534.9","12","33","46","24","30",248,"24","39","37","21","51","28","15","60","25","20","56","24"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,7,"2",264,248,"2519.7","10","26","36","31","33",248,"22","34","44","13","52","35","15","65","21","0","0","0"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,8,"2",289,278,"2523.7","8","20","28","32","40",277,"13","42","45","8","58","33","12","55","34","0","0","0"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,8,"1",289,277,"2559.6","12","39","51","28","21",277,"27","47","26","18","58","24","17","63","21","20","63","17"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,11,"1",274,233,"2549.3","15","25","40","26","34",220,"23","46","31","19","41","40","13","55","32","18","57","25"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,11,"2",274,228,"2520.7","6","11","17","20","63",220,"13","27","60","8","37","55","8","51","41","0","0","0"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,13,"2",2021,1917,"","10","22","32","31","37",1908,"17","36","46","13","48","39","14","54","32","0","0","0"
"09","61903","0000000",,2015,1,"B",2337,2231,2231,13,"1",2021,1924,"","17","28","45","26","28",1906,"24","44","32","19","49","32","16","64","20","21","58","21"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,3,"2",314,150,"2415.2","13","28","41","25","33",150,"23","35","42","21","41","38","19","54","27","0","0","0"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,3,"1",314,150,"2398.7","17","21","38","24","38",149,"21","40","39","16","42","42","19","62","19","14","52","34"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,4,"1",308,153,"2448.9","20","18","38","26","36",152,"20","43","36","16","48","36","16","64","20","16","57","28"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,4,"2",308,152,"2451.2","9","28","38","30","33",152,"20","30","50","15","45","39","16","48","36","0","0","0"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,5,"2",302,156,"2469.8","10","13","23","33","44",156,"15","28","57","9","42","49","8","49","42","0","0","0"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,5,"1",302,155,"2480.0","11","30","41","25","34",155,"17","45","38","12","52","36","14","66","21","16","64","20"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,6,"1",270,150,"2500.2","12","25","37","34","29",150,"17","46","37","13","42","45","13","68","19","19","65","16"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,6,"2",270,149,"2495.2","7","19","27","40","33",149,"15","38","47","8","49","43","10","55","35","0","0","0"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,7,"2",264,129,"2516.4","14","24","38","26","36",129,"23","33","44","15","50","36","13","65","22","0","0","0"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,7,"1",264,130,"2514.9","8","29","36","26","37",129,"19","39","43","13","50","37","14","61","25","16","54","29"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,8,"1",289,134,"2539.8","8","31","39","33","28",134,"23","44","33","11","56","33","16","57","27","14","63","22"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,8,"2",289,134,"2510.1","11","14","26","24","50",133,"17","29","54","11","53","36","13","46","41","0","0","0"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,11,"2",274,132,"2508.9","5","9","14","22","64",128,"10","26","64","7","39","54","6","48","45","0","0","0"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,11,"1",274,135,"2527.0","11","23","34","25","42",130,"18","46","36","12","40","48","13","48","38","13","58","29"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,13,"1",2021,1007,"","13","25","38","28","35",999,"19","43","37","13","47","40","15","61","24","15","59","25"
"09","61903","0000000",,2015,3,"B",2337,2231,1179,13,"2",2021,1002,"","10","20","30","29","41",997,"18","31","51","12","45","42","12","52","36","0","0","0"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,3,"1",314,147,"2434.8","27","21","48","26","26",147,"30","44","27","27","44","30","22","66","12","27","46","27"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,3,"2",314,147,"2424.9","12","33","46","28","27",147,"22","46","32","21","49","30","27","52","21","0","0","0"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,4,"2",308,153,"2458.6","10","27","37","37","25",153,"17","42","41","15","51","34","14","52","34","0","0","0"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,4,"1",308,154,"2467.3","25","23","48","22","30",153,"24","49","27","20","56","24","16","70","14","23","57","20"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,5,"1",302,142,"2517.2","22","35","57","26","17",142,"35","43","23","27","53","20","25","60","15","31","58","11"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,5,"2",302,142,"2481.2","8","22","30","32","38",142,"13","34","53","14","44","42","9","56","35","0","0","0"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,6,"2",270,114,"2524.8","13","23","36","43","21",114,"20","50","30","11","55","33","18","53","30","0","0","0"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,6,"1",270,114,"2539.0","20","34","54","32","14",113,"28","46","26","25","47","28","12","76","12","33","58","9"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,7,"1",264,119,"2556.6","17","39","55","22","23",119,"29","39","31","29","53","18","17","59","24","24","57","18"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,7,"2",264,119,"2523.3","7","28","34","36","29",119,"20","36","44","12","54","34","16","64","20","0","0","0"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,8,"2",289,144,"2536.3","5","25","30","40","31",144,"10","53","37","6","63","31","10","63","26","0","0","0"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,8,"1",289,143,"2578.2","15","48","62","24","14",143,"30","50","20","25","59","16","17","68","15","25","63","12"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,11,"1",274,98,"2581.5","22","27","49","28","23",90,"31","46","23","30","42","28","13","64","22","26","57","18"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,11,"2",274,96,"2537.1","8","14","22","17","61",92,"17","28","54","10","34","57","10","55","35","0","0","0"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,13,"2",2021,915,"","9","25","34","34","32",911,"17","42","41","13","51","36","15","56","29","0","0","0"
"09","61903","0000000",,2015,4,"B",2337,2231,1052,13,"1",2021,917,"","21","32","54","25","21",907,"29","45","25","26","51","23","18","66","16","27","56","17"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,3,"1",314,186,"2449.9","34","24","58","24","18",185,"36","45","19","33","43","24","30","62","8","29","52","19"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,3,"2",314,184,"2443.3","21","36","57","25","18",184,"31","43","26","30","50","20","31","53","16","0","0","0"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,4,"2",308,195,"2480.2","15","38","53","30","17",195,"27","44","29","23","55","22","24","52","25","0","0","0"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,4,"1",308,196,"2489.2","33","28","61","19","19",195,"31","48","21","29","54","17","24","64","12","28","58","13"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,5,"1",302,211,"2526.1","23","41","64","24","13",211,"35","48","17","26","55","18","25","64","10","31","60","9"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,5,"2",302,211,"2501.2","13","24","37","38","25",211,"19","40","40","16","56","28","12","59","29","0","0","0"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,6,"2",270,193,"2531.6","13","26","39","42","18",193,"23","48","29","12","58","30","18","57","25","0","0","0"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,6,"1",270,194,"2544.0","21","37","58","31","12",193,"28","50","21","23","49","27","16","77","7","33","60","8"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,7,"1",264,196,"2563.6","15","42","57","25","17",195,"30","46","24","27","56","17","19","66","14","25","57","17"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,7,"2",264,195,"2547.5","13","31","45","36","19",195,"27","42","31","17","58","25","18","69","13","0","0","0"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,8,"2",289,224,"2547.7","10","25","35","37","28",223,"16","49","35","10","65","25","14","60","26","0","0","0"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,8,"1",289,223,"2583.0","14","48","62","27","11",223,"33","52","16","23","63","14","20","67","13","25","65","11"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,11,"1",274,181,"2577.6","20","30","50","26","24",171,"30","50","20","25","44","31","17","61","22","23","59","18"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,11,"2",274,178,"2544.9","8","14","22","24","54",172,"16","30","53","10","41","49","10","56","34","0","0","0"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,13,"2",2021,1380,"","13","28","41","34","25",1373,"23","43","35","17","55","28","18","58","24","0","0","0"
"09","61903","0000000",,2015,6,"B",2337,2231,1623,13,"1",2021,1387,"","23","36","59","25","16",1373,"32","48","20","26","53","21","22","66","12","28","59","13"
"09","61903","0000000",,2015,7,"B",2337,2231,68,3,"2",314,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,3,"1",314,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,4,"1",308,7,"*","*","*","*","*","*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,4,"2",308,7,"*","*","*","*","*","*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,5,"2",302,5,"*","*","*","*","*","*",5,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,5,"1",302,5,"*","*","*","*","*","*",5,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,6,"1",270,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,6,"2",270,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,7,"2",264,9,"*","*","*","*","*","*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,7,"1",264,9,"*","*","*","*","*","*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,8,"1",289,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,8,"2",289,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,7,"B",2337,2231,68,11,"2",274,13,"2515.8","0","8","8","31","62",13,"0","31","69","0","38","62","0","69","31","0","0","0"
"09","61903","0000000",,2015,7,"B",2337,2231,68,11,"1",274,13,"2577.5","15","31","46","23","31",13,"31","38","31","23","54","23","15","69","15","23","54","23"
"09","61903","0000000",,2015,7,"B",2337,2231,68,13,"1",2021,52,"","17","31","48","35","17",52,"23","56","21","21","56","23","15","69","15","20","63","18"
"09","61903","0000000",,2015,7,"B",2337,2231,68,13,"2",2021,52,"","8","19","27","35","38",52,"12","42","46","12","38","50","12","65","23","0","0","0"
"09","61903","0000000",,2015,8,"B",2337,2231,224,4,"2",308,18,"2473.6","0","50","50","39","11",18,"11","61","28","11","83","6","17","67","17","0","0","0"
"09","61903","0000000",,2015,8,"B",2337,2231,224,4,"1",308,18,"2490.8","33","22","56","33","11",18,"28","50","22","17","78","6","28","56","17","35","59","6"
"09","61903","0000000",,2015,8,"B",2337,2231,224,5,"1",302,28,"2521.0","7","57","64","36","0",28,"21","68","11","14","79","7","11","82","7","25","68","7"
"09","61903","0000000",,2015,8,"B",2337,2231,224,5,"2",302,28,"2502.0","4","32","36","46","18",28,"11","57","32","7","71","21","7","68","25","0","0","0"
"09","61903","0000000",,2015,8,"B",2337,2231,224,6,"2",270,39,"2511.7","8","10","18","59","23",39,"8","54","38","8","51","41","10","51","38","0","0","0"
"09","61903","0000000",,2015,8,"B",2337,2231,224,6,"1",270,39,"2527.5","8","41","49","41","10",39,"15","67","18","15","59","26","10","85","5","15","82","3"
"09","61903","0000000",,2015,8,"B",2337,2231,224,7,"1",264,33,"2550.1","9","36","45","33","21",33,"18","55","27","30","55","15","6","73","21","18","61","21"
"09","61903","0000000",,2015,8,"B",2337,2231,224,7,"2",264,33,"2531.5","9","24","33","45","21",33,"21","39","39","15","61","24","6","73","21","0","0","0"
"09","61903","0000000",,2015,8,"B",2337,2231,224,8,"2",289,50,"2526.0","0","14","14","52","34",50,"2","50","48","6","60","34","0","66","34","0","0","0"
"09","61903","0000000",,2015,8,"B",2337,2231,224,8,"1",289,50,"2569.2","4","52","56","34","10",50,"20","64","16","8","82","10","12","76","12","18","74","8"
"09","61903","0000000",,2015,8,"B",2337,2231,224,11,"1",274,33,"2579.3","9","44","53","31","16",32,"22","69","9","22","56","22","6","69","25","13","75","13"
"09","61903","0000000",,2015,8,"B",2337,2231,224,11,"2",274,33,"2541.7","3","12","15","24","61",33,"12","30","58","6","42","52","0","64","36","0","0","0"
"09","61903","0000000",,2015,8,"B",2337,2231,224,13,"2",2021,201,"","4","20","24","46","30",201,"10","48","42","8","59","32","5","64","30","0","0","0"
"09","61903","0000000",,2015,8,"B",2337,2231,224,13,"1",2021,201,"","10","44","54","35","12",200,"20","63","17","17","68","15","11","75","14","19","71","10"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,3,"1",314,184,"2382.1","10","17","27","27","46",183,"15","39","46","9","44","48","11","66","23","11","47","42"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,3,"2",314,183,"2395.0","5","23","28","31","41",183,"13","37","50","9","43","48","15","53","32","0","0","0"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,4,"2",308,191,"2427.0","2","18","19","40","40",191,"6","32","62","5","45","51","7","50","43","0","0","0"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,4,"1",308,192,"2427.4","10","18","28","29","43",191,"13","46","42","5","54","40","6","73","21","11","58","31"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,5,"1",302,181,"2466.0","5","28","33","31","36",181,"11","46","43","9","53","38","8","67","25","10","67","22"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,5,"2",302,182,"2445.4","1","10","12","33","55",182,"5","25","70","3","34","63","3","48","49","0","0","0"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,6,"2",270,172,"2484.4","2","17","20","44","37",172,"7","42","51","3","50","47","5","54","41","0","0","0"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,6,"1",270,173,"2491.0","6","26","32","38","30",173,"13","46","41","11","40","49","6","73","20","14","69","16"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,7,"1",264,153,"2510.0","8","25","34","24","42",153,"19","35","46","16","49","35","8","59","33","16","52","32"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,7,"2",264,153,"2490.4","5","19","24","33","44",153,"16","27","57","7","46","47","6","66","28","0","0","0"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,8,"2",289,183,"2494.1","2","14","16","32","52",182,"6","36","58","3","54","43","5","54","41","0","0","0"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,8,"1",289,183,"2534.1","5","35","40","31","29",183,"18","48","34","8","60","32","12","60","28","12","66","22"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,11,"1",274,138,"2528.3","9","26","35","23","42",128,"15","47","38","14","41","45","9","52","39","13","56","30"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,11,"2",274,136,"2495.9","2","8","10","18","72",131,"8","22","69","4","37","60","4","47","50","0","0","0"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,13,"2",2021,1200,"","3","16","19","34","48",1194,"9","32","59","5","44","51","7","53","40","0","0","0"
"09","61903","0000000",,2015,31,"B",2337,2231,1379,13,"1",2021,1204,"","8","25","32","29","38",1192,"15","44","42","10","49","41","9","65","26","13","60","28"
"09","61903","0000000",,2015,74,"B",2337,2231,14,5,"1",302,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,74,"B",2337,2231,14,5,"2",302,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,74,"B",2337,2231,14,6,"2",270,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,74,"B",2337,2231,14,6,"1",270,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,74,"B",2337,2231,14,7,"1",264,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,74,"B",2337,2231,14,7,"2",264,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,74,"B",2337,2231,14,11,"2",274,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,74,"B",2337,2231,14,11,"1",274,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,74,"B",2337,2231,14,13,"1",2021,8,"","*","*","*","*","*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,74,"B",2337,2231,14,13,"2",2021,8,"","*","*","*","*","*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,3,"2",314,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,3,"1",314,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,4,"1",308,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,4,"2",308,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,5,"2",302,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,5,"1",302,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,7,"1",264,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,7,"2",264,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,8,"2",289,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,8,"1",289,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,11,"1",274,3,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,11,"2",274,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,13,"2",2021,8,"","*","*","*","*","*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,75,"B",2337,2231,11,13,"1",2021,10,"","*","*","*","*","*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,4,"1",308,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,4,"2",308,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,5,"2",302,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,5,"1",302,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,6,"1",270,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,6,"2",270,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,7,"2",264,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,7,"1",264,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,8,"1",289,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,8,"2",289,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,11,"2",274,4,"*","*","*","*","*","*",4,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,11,"1",274,3,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,76,"B",2337,2231,20,13,"1",2021,12,"","25","33","58","33","8",12,"42","42","17","33","58","8","33","42","25","33","58","8"
"09","61903","0000000",,2015,76,"B",2337,2231,20,13,"2",2021,14,"","21","7","29","43","29",14,"21","29","50","21","43","36","14","71","14","0","0","0"
"09","61903","0000000",,2015,77,"B",2337,2231,99,3,"1",314,10,"*","*","*","*","*","*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,77,"B",2337,2231,99,3,"2",314,10,"*","*","*","*","*","*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"09","61903","0000000",,2015,77,"B",2337,2231,99,4,"2",308,13,"2458.5","8","31","38","38","23",13,"8","62","31","8","62","31","8","69","23","0","0","0"
"09","61903","0000000",,2015,77,"B",2337,2231,99,4,"1",308,13,"2480.6","31","15","46","23","31",13,"23","54","23","23","54","23","15","69","15","46","46","8"
"09","61903","0000000",,2015,77,"B",2337,2231,99,5,"1",302,13,"2500.9","0","62","62","31","8",13,"23","54","23","15","69","15","0","77","23","23","69","8"
"09","61903","0000000",,2015,77,"B",2337,2231,99,5,"2",302,13,"2491.5","8","31","38","15","46",13,"15","38","46","0","54","46","0","85","15","0","0","0"
"09","61903","0000000",,2015,77,"B",2337,2231,99,6,"2",270,11,"2547.1","9","27","36","55","9",11,"27","64","9","18","64","18","18","45","36","0","0","0"
"09","61903","0000000",,2015,77,"B",2337,2231,99,6,"1",270,11,"2554.1","18","55","73","9","18",11,"27","45","27","27","55","18","18","82","0","36","55","9"
"09","61903","0000000",,2015,77,"B",2337,2231,99,7,"1",264,13,"2511.4","15","31","46","15","38",13,"15","31","54","31","38","31","8","62","31","15","69","15"
"09","61903","0000000",,2015,77,"B",2337,2231,99,7,"2",264,13,"2519.7","0","38","38","31","31",13,"23","15","62","8","62","31","8","85","8","0","0","0"
"09","61903","0000000",,2015,77,"B",2337,2231,99,8,"2",289,11,"2496.8","0","27","27","27","45",11,"9","55","36","18","36","45","0","64","36","0","0","0"
"09","61903","0000000",,2015,77,"B",2337,2231,99,8,"1",289,11,"2518.7","0","45","45","18","36",11,"0","55","45","0","64","36","0","73","27","18","64","18"
"09","61903","0000000",,2015,77,"B",2337,2231,99,11,"1",274,12,"2578.0","25","17","42","42","17",12,"25","50","25","33","50","17","8","67","25","25","58","17"
"09","61903","0000000",,2015,77,"B",2337,2231,99,11,"2",274,12,"2570.4","8","25","33","8","58",12,"33","17","50","17","33","50","8","83","8","0","0","0"
"09","61903","0000000",,2015,77,"B",2337,2231,99,13,"2",2021,83,"","5","31","36","29","35",83,"19","41","40","13","49","37","8","71","20","0","0","0"
"09","61903","0000000",,2015,77,"B",2337,2231,99,13,"1",2021,83,"","14","35","49","23","28",83,"19","46","35","20","53","27","7","70","23","24","63","13"
"09","61903","0000000",,2015,78,"B",2337,2231,940,3,"2",314,139,"2387.5","2","21","23","32","45",139,"8","38","54","9","38","53","10","55","35","0","0","0"
"09","61903","0000000",,2015,78,"B",2337,2231,940,3,"1",314,137,"2372.5","7","15","22","30","48",137,"11","40","49","7","39","54","6","69","25","10","45","45"
"09","61903","0000000",,2015,78,"B",2337,2231,940,4,"1",308,148,"2422.3","10","14","24","31","46",147,"10","46","44","3","56","41","6","71","22","9","55","35"
"09","61903","0000000",,2015,78,"B",2337,2231,940,4,"2",308,147,"2425.4","3","16","19","37","44",147,"7","29","64","5","43","52","5","49","46","0","0","0"
"09","61903","0000000",,2015,78,"B",2337,2231,940,5,"2",302,122,"2438.5","2","8","10","29","61",122,"5","21","74","2","27","70","5","43","52","0","0","0"
"09","61903","0000000",,2015,78,"B",2337,2231,940,5,"1",302,122,"2456.0","5","22","27","30","43",122,"11","41","48","8","49","43","8","63","29","11","65","25"
"09","61903","0000000",,2015,78,"B",2337,2231,940,6,"1",270,118,"2473.1","3","19","22","42","36",118,"7","47","46","7","41","53","6","67","27","7","74","19"
